color,quantity,price,parentSku,productID,productName,sku,manufacture,outStockproductID,productRating,productRatingcount,productListPrice,productSalesPrice,size,primaryCategory,subCategory1,subCategory2,subCategory3,pageType,categoryId
,1,25.99,17933,1031219,Tetra® TetraFin Goldfish Flakes,16140,0000001630,1031219,4.129,62,25.99,25.99,7.06 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,17421,1184921,San Francisco Bay Brand® Sally&#x27;s Frozen Bloodworms&amp;trade; Fish Food,A9555,0000031940,1184921,3.8333,6,9.99,9.99,1.76 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,70088,5324378,Omega One&amp;trade; Garlic Marine Slow-Sinking Mini Pellets,OS-61211,0000001630,5324378,5.0,1,9.99,9.99,1.8 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,32.99,75814,5339320,Nutrafin Max Cichlid Spirulina Meal Sticks Fish Food,A6808,0000031915,5339320,,,32.99,32.99,280 g,fish,Food &amp; Care,Food,,Product Detail,300113
,1,5.99,75813,5339319,Nutrafin Max Tropical Fish Flakes,A6700,0000031915,5339319,,,5.99,5.99,0.67 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,11.49,18084,1031417,San Francisco Bay Brand® Sally&#x27;s Red Mosquito Larvae Frozen Bloodworms Fish Food,88055-001,0000007139,1031417,4.54,50,11.49,11.49,3.5 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,25.99,17933,1031219,Tetra® TetraFin Goldfish Flakes,16140,0000001630,1031219,4.129,62,25.99,25.99,7.06 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,17421,1184921,San Francisco Bay Brand® Sally&#x27;s Frozen Bloodworms&amp;trade; Fish Food,A9555,0000031940,1184921,3.8333,6,9.99,9.99,1.76 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,70088,5324378,Omega One&amp;trade; Garlic Marine Slow-Sinking Mini Pellets,OS-61211,0000001630,5324378,5.0,1,9.99,9.99,1.8 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,32.99,75814,5339320,Nutrafin Max Cichlid Spirulina Meal Sticks Fish Food,A6808,0000031915,5339320,,,32.99,32.99,280 g,fish,Food &amp; Care,Food,,Product Detail,300113
,1,5.99,75813,5339319,Nutrafin Max Tropical Fish Flakes,A6700,0000031915,5339319,,,5.99,5.99,0.67 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,11.49,18084,1031417,San Francisco Bay Brand® Sally&#x27;s Red Mosquito Larvae Frozen Bloodworms Fish Food,88055-001,0000007139,1031417,4.54,50,11.49,11.49,3.5 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,5.99,17384,1184791,Nutrafin® basix Betta Pellets,A7240,0000014539,1184791,5.0,1,5.99,5.99,0.4 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,12.99,36414,5251054,Fluval Bug Bites Goldfish Food,A6351,0000031915,5251054,4.0,4,12.99,12.99,100 g,fish,Food &amp; Care,Food,,Product Detail,300113
,1,31.99,42675,5267229,TetraPro&amp;trade; Tropical Crisps Fish Food Flakes,77073,0000001630,5267229,4.2273,22,31.99,31.99,6.7 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,73059,5332314,Cobalt&amp;trade; Aquatics Tropical Flakes,28005,0000035058,5332314,,,9.99,9.99,1 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,10.19,42677,5267295,Top Fin® Freeze-Dried Bloodworms Fish Food,100541040,0000022861,5267295,4.0769,13,11.99,10.19,0.4 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,6.99,36416,5251395,Fluval Bug Bites Bottom Feeder Fish Food,A6362,0000031915,5251395,3.4545,11,6.99,6.99,45 g,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,44832,5332345,Cobalt&amp;trade; Aquatics Color Flakes,28010,0000035058,5332345,5.0,1,9.99,9.99,1 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,6.99,70209,5324464,Fluval Betta Bloodworms,14840,0000031915,5324464,,,6.99,6.99,5 g,fish,Food &amp; Care,Food,,Product Detail,300113
,1,12.99,58400,5300525,Fluval® Bug Bites Goldfish Flakes,A7339,0000007225,5300525,4.25,4,12.99,12.99,1.59 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,19.99,73172,1031675,Nutrafin Basix Cichlid Food - Large Flakes,A7134,0000014539,1031675,5.0,1,19.99,19.99,170 g,fish,Food &amp; Care,Food,,Product Detail,300113
,1,10.99,64980,5311751,Omega&amp;trade; One Freeze Dried Mysis Shrimp,OS-00351,0000001630,5311751,4.6667,3,10.99,10.99,0.75 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,18.99,18111,5135640,San Francisco Bay Freeze Dried Bloodworms Fish Food,88155-001,0000007139,5135640,5.0,8,18.99,18.99,7 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,6.99,18033,1031554,Nutrafin® Basix Bloodworms Tropical Fish Food,A7310,0000014539,1031554,4.4286,7,6.99,6.99,0.1 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,75072,5337212,Nutrafin Max Betta Floating Pellets - 30g/1.06oz,A6788,0000031915,5337212,3.3333,3,9.99,9.99,30 g,fish,Food &amp; Care,Food,,Product Detail,300113
,1,6.99,17905,5300536,Omega&amp;trade; One Freshwater Flakes Fish Food,OS-01211,0000001630,5300536,4.6032,63,6.99,6.99,0.42 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,6.99,58404,5300532,Omega&amp;trade; One Slow-Sinking Color Mini Pellets,OS-61281,0000001630,5300532,3.8929,28,6.99,6.99,1.8 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,8.99,17334,5175448,Aqueon® Betta Color Enhancing Pellets Fish Food,100106195,0000022861,5175448,3.3951,81,8.99,8.99,One Size,fish,Food &amp; Care,Food,,Product Detail,300113
,1,6.99,36415,5251396,Fluval Bug Bites Cichlid Fish Food,A6358,0000031915,5251396,4.6,5,6.99,6.99,45 g,fish,Food &amp; Care,Food,,Product Detail,300113
,1,8.99,17329,5175041,API® Bottom Feeder Premium Shrimp Pellets Fish Food,841A,0000001821,5175041,4.3684,19,8.99,8.99,1.5 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,10.99,21368,5211443,Omega&amp;trade; One Frozen Super Carnivore Fish Food,OS-06191,0000031844,5211443,4.5,22,10.99,10.99,3.5 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,32.99,42674,5267232,TetroPro&amp;trade; Goldfish Crisps Fish Food Flakes,77077,0000001630,5267232,4.55,20,32.99,32.99,7.9 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,10.99,21373,5211437,GloFish® Special Flake Fish Food,77003-00,0000001630,5211437,3.4865,37,10.99,10.99,1.59 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,7.99,75508,5338225,Tetra Goldfish Worm Shaped Bits,AQ-78587,0000001630,5338225,,,7.99,7.99,2.46 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,8.99,67731,5318201,GloFish® Betta Mini Pellets,AQ-78402,0000030304,5318201,,,8.99,8.99,0.14 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,7.99,55236,5293418,Fluval Bug Bites Betta Food,A6348,0000031915,5293418,4.3333,9,7.99,7.99,30 g,fish,Food &amp; Care,Food,,Product Detail,300113
,1,13.99,77683,5341745,Nutrafin Max Goldfish Flakes Fish Food - 77g,A6834,0000031915,5341745,,,13.99,13.99,77 g,fish,Food &amp; Care,Food,,Product Detail,300113
,1,11.99,75023,5336422,"San Francisco Bay Frozen Mysis Shrimp Frozen Fish Food - Natural, 3.5 oz",88099-001,0000007139,5336422,5.0,2,11.99,11.99,3.5 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,23.99,18086,1031422,San Francisco Bay Brand® Sally&#x27;s Frozen Krill&amp;trade; Fish Food,88072-001,0000007139,1031422,5.0,4,23.99,23.99,One Size,fish,Food &amp; Care,Food,,Product Detail,300113
,1,6.36,17442,5049921,Top Fin® Algae Thins® Fish Food,77419,0000001630,5049921,4.3909,110,7.49,6.36,1.5 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,10.19,17941,5048232,Top Fin® Tropical Fish Flakes,77408,0000001630,5048232,4.4607,89,11.99,10.19,2.15 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,11.99,27484,5230222,Omega&amp;trade;One Frozen Brine Shrimp Fish Food,OS-06531,0000031844,5230222,4.4333,30,11.99,11.99,4 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,6.99,17335,5141667,Aqueon® Betta Pellets Fish Food,100106051,0000022861,5141667,3.2769,65,6.99,6.99,0.95 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,19.99,17907,5139983,Nutrafin® Goldfish Flakes,A6838,0000032850,5139983,5.0,1,19.99,19.99,7.58 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,29.99,17908,5139982,Nutrafin® Max Tropical Fish Flakes,A6706,0000032850,5139982,4.6667,3,29.99,29.99,7.58 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,25.99,17911,5087740,Omega&amp;trade; One Cichlid Fish Flakes,OS-01531,0000001630,5087740,3.24,25,25.99,25.99,5.3 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,11.49,17914,1031647,San Francisco Bay Brand® Sally&#x27;s Frozen Spirulina Brine Shrimp&amp;trade; Frozen Fish Food,65225-001,0000007139,1031647,4.6429,14,11.49,11.49,3.5 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,8.49,70497,5325448,Top Fin® 2-in-1 Color Mix - Tropical Color Flakes + Shrimp Treat,AQ-78581,0000001630,5325448,4.8529,34,9.99,8.49,One Size,fish,Food &amp; Care,Food,,Product Detail,300113
,1,23.99,17380,1031654,Nutrafin® basix Staple Food for Tropical Fish,A7032,0000014539,1031654,4.1667,6,23.99,23.99,16 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,11.99,58372,5300334,Fluval® Bug Bites Color Enhancing Flakes,A7347,0000007225,5300334,4.5,12,11.99,11.99,1.59 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
,1,9.99,75509,5338011,Cobalt Tropical Granular Premium Sinking Fish Food,27117,0000035058,5338011,,,9.99,9.99,2.7 Oz,fish,Food &amp; Care,Food,,Product Detail,300113
