price,name,image,url,description,brand,rating,rating_count,rating_best,categories,health_consideration,animal_type,animal_lifestage,animal_size,size_value,size_unit,size_merged
25.99,Tetra® TetraFin Goldfish Flakes,https://s7d2.scene7.com/is/image/PetSmart/1031219,https://www.petsmart.ca/fish/food-and-care/food/tetra-tetrafin-goldfish-flakes-1031219.html,Tetra&reg; TetraFin Goldfish Flakes,Tetra,4.129,62,5,Food &amp; Care|Food|,,fish,,,7.06,Oz,7.06 Oz
9.99,San Francisco Bay Brand® Sally&#x27;s Frozen Bloodworms&amp;trade; Fish Food,https://s7d2.scene7.com/is/image/PetSmart/1184921,https://www.petsmart.ca/fish/food-and-care/food/san-francisco-bay-brand-sallys-frozen-bloodwormsandtrade-fish-food-1184921.html,San Francisco Bay Brand&reg; Sally's Frozen Bloodworms&amp;trade; Fish Food,San Francisco Bay,3.8333,6,5,Food &amp; Care|Food|,,fish,,,1.76,Oz,1.76 Oz
9.99,Omega One&amp;trade; Garlic Marine Slow-Sinking Mini Pellets,https://s7d2.scene7.com/is/image/PetSmart/5324378,https://www.petsmart.ca/fish/food-and-care/food/omega-oneandtrade-garlic-marine-slow-sinking-mini-pellets-5324378.html,Omega One&amp;trade; Garlic Marine Slow-Sinking Mini Pellets,Omega One,5.0,1,5,Food &amp; Care|Food|,,fish,,,1.8,Oz,1.8 Oz
32.99,Nutrafin Max Cichlid Spirulina Meal Sticks Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5339320,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-max-cichlid-spirulina-meal-sticks-fish-food-5339320.html,Nutrafin Max Cichlid Spirulina Meal Sticks Fish Food,Nutrafin,,0,5,Food &amp; Care|Food|,,fish,,,280.0,g,280 g
5.99,Nutrafin Max Tropical Fish Flakes,https://s7d2.scene7.com/is/image/PetSmart/5339319,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-max-tropical-fish-flakes-5339319.html,Nutrafin Max Tropical Fish Flakes,Nutrafin,,0,5,Food &amp; Care|Food|,,fish,,,0.67,Oz,0.67 Oz
11.49,San Francisco Bay Brand® Sally&#x27;s Red Mosquito Larvae Frozen Bloodworms Fish Food,https://s7d2.scene7.com/is/image/PetSmart/1031417,https://www.petsmart.ca/fish/food-and-care/food/san-francisco-bay-brand-sallys-red-mosquito-larvae-frozen-bloodworms-fish-food-1031417.html,San Francisco Bay Brand&reg; Sally's Red Mosquito Larvae Frozen Bloodworms Fish Food,San Francisco Bay,4.54,50,5,Food &amp; Care|Food|,,fish,,,3.5,Oz,3.5 Oz
5.99,Nutrafin® basix Betta Pellets,https://s7d2.scene7.com/is/image/PetSmart/1184791,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-basix-betta-pellets-1184791.html,Nutrafin&reg; basix Betta Pellets,Nutrafin,5.0,1,5,Food &amp; Care|Food|,,fish,,,0.4,Oz,0.4 Oz
12.99,Fluval Bug Bites Goldfish Food,https://s7d2.scene7.com/is/image/PetSmart/5251054,https://www.petsmart.ca/fish/food-and-care/food/fluval-bug-bites-goldfish-food-5251054.html,Fluval Bug Bites Goldfish Food,Fluval,4.0,4,5,Food &amp; Care|Food|,,fish,,,100.0,g,100 g
31.99,TetraPro&amp;trade; Tropical Crisps Fish Food Flakes,https://s7d2.scene7.com/is/image/PetSmart/5267229,https://www.petsmart.ca/fish/food-and-care/food/tetraproandtrade-tropical-crisps-fish-food-flakes-5267229.html,TetraPro&amp;trade; Tropical Crisps Fish Food Flakes,Tetra,4.2273,22,5,Food &amp; Care|Food|,,fish,,,6.7,Oz,6.7 Oz
9.99,Cobalt&amp;trade; Aquatics Tropical Flakes,https://s7d2.scene7.com/is/image/PetSmart/5332314,https://www.petsmart.ca/fish/food-and-care/food/cobaltandtrade-aquatics-tropical-flakes-5332314.html,Cobalt&amp;trade; Aquatics Tropical Flakes,Cobalt,,0,5,Food &amp; Care|Food|,,fish,,,1.0,Oz,1 Oz
10.19,Top Fin® Freeze-Dried Bloodworms Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5267295,https://www.petsmart.ca/fish/food-and-care/food/top-fin-freeze-dried-bloodworms-fish-food-5267295.html,Top Fin&reg; Freeze-Dried Bloodworms Fish Food,Top Fin,4.0769,13,5,Food &amp; Care|Food|,,fish,,,0.4,Oz,0.4 Oz
6.99,Fluval Bug Bites Bottom Feeder Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5251395,https://www.petsmart.ca/fish/food-and-care/food/fluval-bug-bites-bottom-feeder-fish-food-5251395.html,Fluval Bug Bites Bottom Feeder Fish Food,Fluval,3.4545,11,5,Food &amp; Care|Food|,,fish,,,45.0,g,45 g
9.99,Cobalt&amp;trade; Aquatics Color Flakes,https://s7d2.scene7.com/is/image/PetSmart/5272399,https://www.petsmart.ca/fish/food-and-care/food/cobaltandtrade-aquatics-color-flakes-5272399.html,Cobalt&amp;trade; Aquatics Color Flakes,Cobalt,5.0,1,5,Food &amp; Care|Food|,,fish,,,1.0,Oz,1 Oz
6.99,Fluval Betta Bloodworms,https://s7d2.scene7.com/is/image/PetSmart/5324464,https://www.petsmart.ca/fish/food-and-care/food/fluval-betta-bloodworms-5324464.html,Fluval Betta Bloodworms,Fluval,,0,5,Food &amp; Care|Food|,,fish,,,5.0,g,5 g
12.99,Fluval® Bug Bites Goldfish Flakes,https://s7d2.scene7.com/is/image/PetSmart/5300525,https://www.petsmart.ca/fish/food-and-care/food/fluval-bug-bites-goldfish-flakes-5300525.html,Fluval&reg; Bug Bites Goldfish Flakes,Fluval,4.25,4,5,Food &amp; Care|Food|,,fish,,,1.59,Oz,1.59 Oz
19.99,Nutrafin Basix Cichlid Food - Large Flakes,https://s7d2.scene7.com/is/image/PetSmart/1031675,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-basix-cichlid-food---large-flakes-1031675.html,Nutrafin Basix Cichlid Food - Large Flakes,Nutrafin,5.0,1,5,Food &amp; Care|Food|,,fish,,,170.0,g,170 g
10.99,Omega&amp;trade; One Freeze Dried Mysis Shrimp,https://s7d2.scene7.com/is/image/PetSmart/5311751,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-freeze-dried-mysis-shrimp-5311751.html,Omega&amp;trade; One Freeze Dried Mysis Shrimp,Omega One,4.6667,3,5,Food &amp; Care|Food|,,fish,,,0.75,Oz,0.75 Oz
18.99,San Francisco Bay Freeze Dried Bloodworms Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5135640,https://www.petsmart.ca/fish/food-and-care/food/san-francisco-bay-freeze-dried-bloodworms-fish-food-5135640.html,San Francisco Bay Freeze Dried Bloodworms Fish Food,San Francisco Bay,5.0,8,5,Food &amp; Care|Food|,,fish,,,7.0,Oz,7 Oz
6.99,Nutrafin® Basix Bloodworms Tropical Fish Food,https://s7d2.scene7.com/is/image/PetSmart/1031554,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-basix-bloodworms-tropical-fish-food-1031554.html,Nutrafin&reg; Basix Bloodworms Tropical Fish Food,Nutrafin,4.4286,7,5,Food &amp; Care|Food|,,fish,,,0.1,Oz,0.1 Oz
9.99,Nutrafin Max Betta Floating Pellets - 30g/1.06oz,https://s7d2.scene7.com/is/image/PetSmart/5337212,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-max-betta-floating-pellets---30g%2F1.06oz-5337212.html,Nutrafin Max Betta Floating Pellets - 30g/1.06oz,Nutrafin,3.3333,3,5,Food &amp; Care|Food|,,fish,,,30.0,g,30 g
6.99,Omega&amp;trade; One Freshwater Flakes Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5080613,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-freshwater-flakes-fish-food-5080613.html,Omega&amp;trade; One Freshwater Flakes Fish Food,Omega One,4.6032,63,5,Food &amp; Care|Food|,,fish,,,0.42,Oz,0.42 Oz
6.99,Omega&amp;trade; One Slow-Sinking Color Mini Pellets,https://s7d2.scene7.com/is/image/PetSmart/5300532,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-slow-sinking-color-mini-pellets-5300532.html,Omega&amp;trade; One Slow-Sinking Color Mini Pellets,Omega One,3.8929,28,5,Food &amp; Care|Food|,,fish,,,1.8,Oz,1.8 Oz
8.99,Aqueon® Betta Color Enhancing Pellets Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5175448,https://www.petsmart.ca/fish/food-and-care/food/aqueon-betta-color-enhancing-pellets-fish-food-5175448.html,Aqueon&reg; Betta Color Enhancing Pellets Fish Food,Aqueon,3.3951,81,5,Food &amp; Care|Food|,,fish,,,,,One Size
6.99,Fluval Bug Bites Cichlid Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5251396,https://www.petsmart.ca/fish/food-and-care/food/fluval-bug-bites-cichlid-fish-food-5251396.html,Fluval Bug Bites Cichlid Fish Food,Fluval,4.6,5,5,Food &amp; Care|Food|,,fish,,,45.0,g,45 g
8.99,API® Bottom Feeder Premium Shrimp Pellets Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5163996,https://www.petsmart.ca/fish/food-and-care/food/api-bottom-feeder-premium-shrimp-pellets-fish-food-5163996.html,API&reg; Bottom Feeder Premium Shrimp Pellets Fish Food,API,4.3684,19,5,Food &amp; Care|Food|,,fish,,,1.5,Oz,1.5 Oz
